"","x"
"639","YCR097W"
"640","YCR098C"
"641","YCR100C"
"642","YCR100C"
"643","YCR101C"
"644","YCR102C"
"645","YCR105W"
"646","YCR106W"
"647","YCR107W"
"648","YDL001W"
"649","YDL002C"
"650","YDL003W"
"651","YDL004W"
"652","YDL005C"
"653","YDL006W"
"654","YDL007W"
"655","YDL008W"
"656","YDL009C"
"657","YDL010W"
"658","YDL012C"
"659","YDL013W"
"660","YDL014W"
"661","YDL015C"
"662","YDL016C"
"663","YDL017W"
"664","YDL018C"
"665","YDL019C"
"666","YDL020C"
"667","YDL021W"
"668","YDL022W"
"669","YDL024C"
"670","YDL024C"
"671","YDL025C"
"672","YDL027C"
"673","YDL028C"
"674","YDL029W"
"675","YDL030W"
"676","YDL031W"
"677","YDL033C"
"678","YDL035C"
"679","YDL036C"
"680","YDL039C"
"681","YDL040C"
"682","YDL042C"
"683","YDL043C"
"684","YDL044C"
"685","YDL045C"
"686","YDL045W-A"
"687","YDL046W"
"688","YDL047W"
"689","YDL048C"
"690","YDL049C"
"691","YDL050C"
"692","YDL051W"
"693","YDL052C"
"694","YDL053C"
"695","YDL054C"
"696","YDL055C"
"697","YDL056W"
"698","YDL057W"
"699","YDL058W"
"700","YDL059C"
"701","YDL060W"
"702","YDL061C"
"703","YDL063C"
"704","YDL064W"
"705","YDL065C"
"706","YDL066W"
"707","YDL067C"
"708","YDL069C"
"709","YDL070W"
"710","YDL072C"
"711","YDL073W"
"712","YDL074C"
"713","YDL075W"
"714","YDL076C"
"715","YDL077C"
"716","YDL078C"
"717","YDL079C"
"718","YDL080C"
"719","YDL081C"
"720","YDL082W"
"721","YDL083C"
"722","YDL084W"
"723","YDL085C-A"
"724","YDL085W"
"725","YDL086W"
"726","YDL087C"
"727","YDL088C"
"728","YDL089W"
"729","YDL090C"
"730","YDL091C"
"731","YDL092W"
"732","YDL093W"
"733","YDL094C"
"734","YDL095W"
"735","YDL097C"
"736","YDL098C"
"737","YDL099W"
"738","YDL100C"
"739","YDL101C"
"740","YDL102W"
"741","YDL103C"
"742","YDL104C"
"743","YDL105W"
"744","YDL106C"
"745","YDL107W"
"746","YDL108W"
"747","YDL109C"
"748","YDL110C"
"749","YDL111C"
"750","YDL112W"
"751","YDL113C"
"752","YDL115C"
"753","YDL116W"
"754","YDL117W"
"755","YDL119C"
"756","YDL120W"
"757","YDL121C"
"758","YDL122W"
"759","YDL123W"
"760","YDL124W"
"761","YDL125C"
"762","YDL126C"
"763","YDL127W"
"764","YDL128W"
"765","YDL129W"
"766","YDL130W"
"767","YDL130W-A"
"768","YDL131W"
"769","YDL132W"
"770","YDL133C-A"
"771","YDL133W"
"772","YDL134C"
"773","YDL135C"
"774","YDL136W"
"775","YDL137W"
"776","YDL138W"
"777","YDL139C"
"778","YDL140C"
"779","YDL141W"
"780","YDL142C"
"781","YDL143W"
"782","YDL144C"
"783","YDL145C"
"784","YDL146W"
"785","YDL147W"
"786","YDL148C"
"787","YDL149W"
"788","YDL150W"
"789","YDL153C"
"790","YDL154W"
"791","YDL155W"
"792","YDL156W"
"793","YDL157C"
"794","YDL158C"
"795","YDL159W"
"796","YDL160C"
"797","YDL160C-A"
"798","YDL161W"
"799","YDL164C"
"800","YDL165W"
"801","YDL166C"
"802","YDL167C"
"803","YDL168W"
"804","YDL169C"
"805","YDL170W"
"806","YDL171C"
"807","YDL173W"
"808","YDL174C"
"809","YDL175C"
"810","YDL176W"
"811","YDL177C"
"812","YDL178W"
"813","YDL179W"
"814","YDL180W"
"815","YDL181W"
"816","YDL182W"
"817","YDL183C"
"818","YDL184C"
"819","YDL185W"
"820","YDL186W"
"821","YDL188C"
"822","YDL189W"
"823","YDL190C"
"824","YDL191W"
"825","YDL192W"
"826","YDL193W"
"827","YDL194W"
"828","YDL195W"
"829","YDL197C"
"830","YDL198C"
"831","YDL199C"
"832","YDL200C"
"833","YDL201W"
"834","YDL202W"
"835","YDL203C"
"836","YDL204W"
"837","YDL205C"
"838","YDL206W"
"839","YDL207W"
"840","YDL208W"
"841","YDL209C"
"842","YDL210W"
"843","YDL211C"
"844","YDL212W"
"845","YDL213C"
"846","YDL214C"
"847","YDL215C"
"848","YDL216C"
"849","YDL217C"
"850","YDL218W"
"851","YDL219W"
"852","YDL220C"
"853","YDL221W"
"854","YDL222C"
"855","YDL223C"
"856","YDL224C"
"857","YDL225W"
"858","YDL226C"
"859","YDL227C"
"860","YDL229W"
"861","YDL230W"
"862","YDL231C"
"863","YDL232W"
"864","YDL233W"
"865","YDL234C"
"866","YDL235C"
"867","YDL236W"
"868","YDL237W"
"869","YDL238C"
"870","YDL239C"
"871","YDL240W"
"872","YDL241W"
"873","YDL242W"
"874","YDL243C"
"875","YDL244W"
"876","YDL248W"
"877","YDR001C"
"878","YDR002W"
"879","YDR003W"
"880","YDR003W-A"
"881","YDR004W"
"882","YDR005C"
"883","YDR006C"
"884","YDR007W"
"885","YDR009W"
"886","YDR010C"
"887","YDR011W"
"888","YDR012W"
"889","YDR013W"
"890","YDR014W"
"891","YDR016C"
"892","YDR017C"
"893","YDR018C"
"894","YDR019C"
"895","YDR020C"
"896","YDR021W"
"897","YDR022C"
"898","YDR023W"
"899","YDR024W"
"900","YDR025W"
"901","YDR026C"
"902","YDR027C"
"903","YDR028C"
"904","YDR029W"
"905","YDR030C"
"906","YDR031W"
"907","YDR032C"
"908","YDR033W"
"909","YDR034C"
"910","YDR034C-A"
"911","YDR034W-B"
"912","YDR035W"
"913","YDR036C"
"914","YDR037W"
"915","YDR038C"
"916","YDR040C"
"917","YDR041W"
"918","YDR043C"
"919","YDR044W"
"920","YDR045C"
"921","YDR046C"
"922","YDR047W"
"923","YDR049W"
"924","YDR050C"
"925","YDR051C"
"926","YDR052C"
"927","YDR054C"
"928","YDR055W"
"929","YDR056C"
"930","YDR057W"
"931","YDR058C"
"932","YDR059C"
"933","YDR060W"
"934","YDR061W"
"935","YDR062W"
"936","YDR063W"
"937","YDR064W"
"938","YDR065W"
"939","YDR066C"
"940","YDR067C"
"941","YDR068W"
"942","YDR069C"
"943","YDR070C"
"944","YDR071C"
"945","YDR072C"
"946","YDR073W"
"947","YDR074W"
"948","YDR075W"
"949","YDR076W"
"950","YDR077W"
"951","YDR078C"
"952","YDR079C-A"
"953","YDR079W"
"954","YDR080W"
"955","YDR081C"
"956","YDR082W"
"957","YDR083W"
"958","YDR084C"
"959","YDR085C"
"960","YDR086C"
"961","YDR087C"
"962","YDR088C"
"963","YDR089W"
"964","YDR090C"
"965","YDR091C"
"966","YDR092W"
"967","YDR093W"
"968","YDR093W"
"969","YDR096W"
"970","YDR097C"
"971","YDR098C"
"972","YDR099W"
"973","YDR100W"
"974","YDR101C"
"975","YDR103W"
"976","YDR104C"
"977","YDR105C"
"978","YDR106W"
"979","YDR107C"
"980","YDR108W"
"981","YDR109C"
"982","YDR110W"
"983","YDR111C"
"984","YDR112W"
"985","YDR113C"
"986","YDR115W"
"987","YDR116C"
"988","YDR117C"
"989","YDR118W"
"990","YDR118W"
"991","YDR119W"
"992","YDR119W-A"
"993","YDR120C"
"994","YDR121W"
"995","YDR122W"
"996","YDR123C"
"997","YDR124W"
"998","YDR125C"
"999","YDR126W"
"1000","YDR127W"
"1001","YDR128W"
"1002","YDR129C"
"1003","YDR130C"
"1004","YDR131C"
"1005","YDR132C"
"1006","YDR134C"
"1007","YDR134C"
"1008","YDR135C"
"1009","YDR137W"
"1010","YDR138W"
"1011","YDR139C"
"1012","YDR140W"
"1013","YDR141C"
"1014","YDR142C"
"1015","YDR143C"
"1016","YDR144C"
"1017","YDR145W"
"1018","YDR146C"
"1019","YDR147W"
"1020","YDR148C"
"1021","YDR150W"
"1022","YDR151C"
"1023","YDR152W"
"1024","YDR153C"
"1025","YDR155C"
"1026","YDR155C"
"1027","YDR156W"
"1028","YDR156W"
"1029","YDR158W"
"1030","YDR159W"
"1031","YDR160W"
"1032","YDR161W"
"1033","YDR162C"
"1034","YDR163W"
"1035","YDR164C"
"1036","YDR165W"
"1037","YDR166C"
"1038","YDR167W"
"1039","YDR168W"
"1040","YDR169C"
"1041","YDR170C"
"1042","YDR170W-A"
"1043","YDR171W"
"1044","YDR172W"
"1045","YDR173C"
"1046","YDR174W"
"1047","YDR175C"
"1048","YDR176W"
"1049","YDR177W"
"1050","YDR178W"
"1051","YDR179C"
"1052","YDR179W-A"
"1053","YDR180W"
"1054","YDR181C"
"1055","YDR182W"
"1056","YDR182W-A"
"1057","YDR183W"
"1058","YDR184C"
