,x
760,YDL115C
761,YDL116W
762,YDL117W
763,YDL119C
764,YDL120W
765,YDL121C
766,YDL122W
767,YDL123W
768,YDL124W
769,YDL125C
770,YDL126C
771,YDL127W
772,YDL128W
773,YDL129W
774,YDL130W
775,YDL130W-A
776,YDL131W
777,YDL132W
778,YDL133C-A
779,YDL133W
780,YDL134C
781,YDL135C
782,YDL136W
783,YDL137W
784,YDL138W
785,YDL139C
786,YDL140C
787,YDL141W
788,YDL142C
789,YDL143W
790,YDL144C
791,YDL145C
792,YDL146W
793,YDL147W
794,YDL148C
795,YDL149W
796,YDL150W
797,YDL153C
798,YDL154W
799,YDL155W
800,YDL156W
801,YDL157C
802,YDL158C
803,YDL159W
804,YDL160C
805,YDL160C-A
806,YDL161W
807,YDL164C
808,YDL165W
809,YDL166C
810,YDL167C
811,YDL168W
812,YDL169C
813,YDL170W
814,YDL171C
815,YDL173W
816,YDL174C
817,YDL175C
818,YDL176W
819,YDL177C
820,YDL178W
821,YDL179W
822,YDL180W
823,YDL181W
824,YDL182W
825,YDL183C
826,YDL184C
827,YDL185W
828,YDL186W
829,YDL188C
830,YDL189W
831,YDL190C
832,YDL191W
833,YDL192W
834,YDL193W
835,YDL194W
836,YDL195W
837,YDL197C
838,YDL198C
839,YDL199C
840,YDL200C
841,YDL201W
842,YDL202W
843,YDL203C
844,YDL204W
845,YDL205C
846,YDL206W
847,YDL207W
848,YDL208W
849,YDL209C
850,YDL210W
851,YDL211C
852,YDL212W
853,YDL213C
854,YDL214C
855,YDL215C
856,YDL216C
857,YDL217C
858,YDL218W
859,YDL219W
860,YDL220C
861,YDL221W
862,YDL222C
863,YDL223C
864,YDL224C
865,YDL225W
866,YDL226C
867,YDL227C
868,YDL229W
869,YDL230W
870,YDL231C
871,YDL232W
872,YDL233W
873,YDL234C
874,YDL235C
875,YDL236W
876,YDL237W
877,YDL238C
878,YDL239C
879,YDL240W
880,YDL241W
881,YDL242W
882,YDL243C
883,YDL244W
884,YDL248W
885,YDR001C
886,YDR002W
887,YDR003W
888,YDR003W-A
889,YDR004W
890,YDR005C
891,YDR006C
892,YDR007W
893,YDR009W
894,YDR011W
895,YDR012W
896,YDR013W
897,YDR014W
898,YDR014W-A
899,YDR016C
900,YDR017C
901,YDR018C
902,YDR019C
903,YDR020C
904,YDR021W
905,YDR022C
906,YDR023W
907,YDR024W
908,YDR025W
909,YDR026C
910,YDR027C
911,YDR028C
912,YDR029W
913,YDR030C
914,YDR031W
915,YDR032C
916,YDR033W
917,YDR034C
918,YDR034C-A
919,YDR034C-D
920,YDR034C-D
921,YDR034W-B
922,YDR035W
923,YDR036C
924,YDR037W
925,YDR038C
926,YDR040C
927,YDR041W
928,YDR042C
929,YDR043C
930,YDR044W
931,YDR045C
932,YDR046C
933,YDR047W
934,YDR049W
935,YDR050C
936,YDR051C
937,YDR052C
938,YDR054C
939,YDR055W
940,YDR056C
941,YDR057W
942,YDR058C
943,YDR059C
944,YDR060W
945,YDR061W
946,YDR062W
947,YDR063W
948,YDR064W
949,YDR065W
950,YDR066C
951,YDR067C
952,YDR068W
953,YDR069C
954,YDR070C
955,YDR071C
956,YDR072C
957,YDR073W
958,YDR074W
959,YDR075W
960,YDR076W
961,YDR077W
962,YDR078C
963,YDR079C-A
964,YDR079W
965,YDR080W
966,YDR081C
967,YDR082W
968,YDR083W
969,YDR084C
970,YDR085C
971,YDR086C
972,YDR087C
973,YDR088C
974,YDR089W
975,YDR090C
976,YDR091C
977,YDR092W
978,YDR093W
979,YDR093W
980,YDR096W
981,YDR097C
982,YDR098C
983,YDR098C-B
984,YDR098C-B
985,YDR099W
986,YDR100W
987,YDR101C
988,YDR103W
989,YDR104C
990,YDR105C
991,YDR106W
992,YDR107C
993,YDR108W
994,YDR109C
995,YDR110W
996,YDR111C
997,YDR113C
998,YDR115W
999,YDR116C
1000,YDR117C
1001,YDR118W
1002,YDR118W
1003,YDR119W
1004,YDR119W-A
1005,YDR120C
1006,YDR121W
1007,YDR122W
1008,YDR123C
1009,YDR124W
1010,YDR125C
1011,YDR126W
1012,YDR127W
1013,YDR128W
1014,YDR129C
1015,YDR130C
1016,YDR131C
1017,YDR132C
1018,YDR134C
1019,YDR134C
1020,YDR135C
1021,YDR137W
1022,YDR138W
1023,YDR139C
1024,YDR140W
1025,YDR141C
1026,YDR142C
1027,YDR143C
1028,YDR144C
1029,YDR145W
1030,YDR146C
1031,YDR147W
1032,YDR148C
1033,YDR150W
1034,YDR151C
1035,YDR152W
1036,YDR153C
1037,YDR155C
1038,YDR155C
1039,YDR156W
1040,YDR156W
1041,YDR158W
1042,YDR159W
1043,YDR160W
1044,YDR161W
1045,YDR162C
1046,YDR163W
1047,YDR164C
1048,YDR165W
1049,YDR166C
1050,YDR167W
1051,YDR168W
1052,YDR169C
1053,YDR170C
1054,YDR170W-A
1055,YDR171W
1056,YDR172W
1057,YDR173C
1058,YDR174W
1059,YDR175C
1060,YDR176W
1061,YDR177W
1062,YDR178W
1063,YDR179C
1064,YDR179W-A
1065,YDR180W
1066,YDR181C
1067,YDR182W
1068,YDR182W-A
1069,YDR183W
1070,YDR184C
1071,YDR184C
1072,YDR185C
1073,YDR186C
1074,YDR188W
1075,YDR189W
1076,YDR190C
1077,YDR191W
1078,YDR192C
1079,YDR194C
1080,YDR195W
1081,YDR196C
1082,YDR197W
1083,YDR198C
1084,YDR200C
1085,YDR201W
1086,YDR202C
1087,YDR204W
1088,YDR205W
1089,YDR206W
1090,YDR207C
1091,YDR208W
1092,YDR209C
1093,YDR210C-D
1094,YDR210C-D
1095,YDR210W-B
1096,YDR210W-B
1097,YDR211W
1098,YDR212W
1099,YDR213W
1100,YDR214W
1101,YDR216W
1102,YDR217C
1103,YDR218C
1104,YDR219C
1105,YDR221W
1106,YDR222W
1107,YDR223W
1108,YDR224C
1109,YDR225W
1110,YDR226W
1111,YDR227W
1112,YDR228C
1113,YDR229W
1114,YDR230W
1115,YDR231C
1116,YDR232W
1117,YDR233C
1118,YDR234W
1119,YDR235W
1120,YDR236C
1121,YDR237W
1122,YDR238C
1123,YDR239C
1124,YDR240C
1125,YDR241W
1126,YDR242W
1127,YDR243C
1128,YDR244W
1129,YDR245W
1130,YDR246W
1131,YDR246W-A
1132,YDR247W
1133,YDR248C
1134,YDR249C
1135,YDR251W
1136,YDR252W
1137,YDR253C
1138,YDR254W
1139,YDR255C
1140,YDR256C
1141,YDR257C
1142,YDR258C
1143,YDR259C
1144,YDR260C
1145,YDR261C
1146,YDR261C-D
1147,YDR261C-D
1148,YDR261W-B
1149,YDR261W-B
1150,YDR262W
1151,YDR263C
1152,YDR264C
1153,YDR265W
1154,YDR266C
1155,YDR267C
1156,YDR268W
1157,YDR270W
1158,YDR272W
1159,YDR273W
1160,YDR274C
1161,YDR275W
1162,YDR276C
1163,YDR277C
1164,YDR279W
1165,YDR280W
1166,YDR281C
1167,YDR282C
1168,YDR283C
1169,YDR284C
1170,YDR285W
1171,YDR286C
1172,YDR287W
1173,YDR288W
1174,YDR289C
1175,YDR291W
1176,YDR292C
1177,YDR293C
1178,YDR294C
1179,YDR295C
1180,YDR296W
1181,YDR297W
1182,YDR298C
1183,YDR299W
1184,YDR300C
1185,YDR301W
1186,YDR302W
1187,YDR303C
1188,YDR304C
1189,YDR305C
1190,YDR306C
1191,YDR307W
1192,YDR308C
1193,YDR309C
1194,YDR310C
1195,YDR311W
1196,YDR312W
1197,YDR313C
1198,YDR314C
1199,YDR315C
1200,YDR316W
1201,YDR317W
1202,YDR318W
1203,YDR319C
1204,YDR320C
1205,YDR320C-A
1206,YDR321W
1207,YDR322C-A
1208,YDR322W
1209,YDR323C
1210,YDR324C
1211,YDR325W
1212,YDR326C
1213,YDR327W
1214,YDR328C
1215,YDR329C
1216,YDR330W
1217,YDR331W
1218,YDR332W
1219,YDR333C
1220,YDR334W
1221,YDR335W
1222,YDR336W
1223,YDR337W
1224,YDR338C
1225,YDR339C
1226,YDR341C
1227,YDR342C
1228,YDR343C
1229,YDR345C
1230,YDR346C
1231,YDR347W
1232,YDR348C
1233,YDR349C
1234,YDR350C
1235,YDR351W
1236,YDR352W
1237,YDR353W
1238,YDR354W
1239,YDR356W
1240,YDR357C
1241,YDR358W
1242,YDR359C
1243,YDR361C
1244,YDR362C
1245,YDR363W
1246,YDR363W-A
1247,YDR364C
1248,YDR365C
1249,YDR366C
1250,YDR367W
1251,YDR368W
1252,YDR369C
1253,YDR370C
1254,YDR371W
1255,YDR372C
1256,YDR373W
1257,YDR374C
1258,YDR374W-A
1259,YDR375C
1260,YDR376W
1261,YDR377W
1262,YDR378C
1263,YDR379C-A
1264,YDR379W
1265,YDR380W
1266,YDR381C-A
1267,YDR381W
1268,YDR382W
1269,YDR383C
1270,YDR384C
1271,YDR385W
1272,YDR386W
1273,YDR387C
1274,YDR388W
1275,YDR389W
1276,YDR390C
1277,YDR391C
1278,YDR392W
1279,YDR393W
1280,YDR394W
1281,YDR395W
1282,YDR396W
1283,YDR398W
1284,YDR399W
1285,YDR400W
1286,YDR402C
1287,YDR403W
1288,YDR404C
1289,YDR405W
1290,YDR406W
1291,YDR406W
1292,YDR407C
1293,YDR408C
1294,YDR409W
1295,YDR410C
1296,YDR411C
1297,YDR414C
1298,YDR415C
1299,YDR416W
1300,YDR418W
1301,YDR419W
1302,YDR420W
1303,YDR421W
1304,YDR422C
1305,YDR423C
1306,YDR424C
1307,YDR425W
1308,YDR427W
1309,YDR428C
1310,YDR429C
1311,YDR430C
1312,YDR432W
1313,YDR432W
1314,YDR434W
1315,YDR435C
1316,YDR436W
