,x
710,YDL067C
711,YDL069C
712,YDL070W
713,YDL072C
714,YDL073W
715,YDL074C
716,YDL075W
717,YDL076C
718,YDL077C
719,YDL078C
720,YDL079C
721,YDL080C
722,YDL081C
723,YDL082W
724,YDL083C
725,YDL084W
726,YDL085C-A
727,YDL085W
728,YDL086W
729,YDL087C
730,YDL088C
731,YDL089W
732,YDL090C
733,YDL091C
734,YDL092W
735,YDL093W
736,YDL095W
737,YDL097C
738,YDL098C
739,YDL099W
740,YDL100C
741,YDL101C
742,YDL102W
743,YDL103C
744,YDL104C
745,YDL105W
746,YDL106C
747,YDL107W
748,YDL108W
749,YDL109C
750,YDL110C
751,YDL111C
752,YDL112W
753,YDL113C
754,YDL114W
755,YDL115C
756,YDL116W
757,YDL117W
758,YDL119C
759,YDL120W
760,YDL121C
761,YDL122W
762,YDL123W
763,YDL124W
764,YDL125C
765,YDL126C
766,YDL127W
767,YDL128W
768,YDL129W
769,YDL130W
770,YDL130W-A
771,YDL131W
772,YDL132W
773,YDL133C-A
774,YDL133W
775,YDL134C
776,YDL135C
777,YDL136W
778,YDL137W
779,YDL138W
780,YDL139C
781,YDL140C
782,YDL141W
783,YDL142C
784,YDL143W
785,YDL144C
786,YDL145C
787,YDL146W
788,YDL147W
789,YDL148C
790,YDL149W
791,YDL150W
792,YDL153C
793,YDL154W
794,YDL155W
795,YDL156W
796,YDL157C
797,YDL158C
798,YDL159W
799,YDL160C
800,YDL160C-A
801,YDL161W
802,YDL164C
803,YDL165W
804,YDL166C
805,YDL167C
806,YDL168W
807,YDL169C
808,YDL170W
809,YDL171C
810,YDL173W
811,YDL174C
812,YDL175C
813,YDL176W
814,YDL177C
815,YDL178W
816,YDL179W
817,YDL180W
818,YDL181W
819,YDL182W
820,YDL183C
821,YDL184C
822,YDL185W
823,YDL186W
824,YDL188C
825,YDL189W
826,YDL190C
827,YDL191W
828,YDL192W
829,YDL193W
830,YDL194W
831,YDL195W
832,YDL197C
833,YDL198C
834,YDL199C
835,YDL200C
836,YDL201W
837,YDL202W
838,YDL203C
839,YDL204W
840,YDL205C
841,YDL206W
842,YDL207W
