"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"YDR432W",909.218953393794,-0.726009504525488,0.410065269100626,0,0.998969219429274,1
"YDR434W",689.269767039556,0.0531183213677219,0.154181039689148,0,0.999165501154238,1
"YDR435C",673.068532177572,0.311414174339622,0.217113484037969,0,0.85165198259486,1
"YDR436W",941.053885615755,0.183387055547899,0.186531169358948,0,0.971332973865812,1
"YDR437W",45.469608615577,0.480620485246892,0.288057753173023,0,0.578941581975751,1
"YDR438W",264.896689620111,0.448171487838956,0.138703354640842,0,0.741376575151635,1
"YDR439W",188.954888804668,0.509135449501297,0.180418334675356,0,0.563551779092628,1
"YDR440W",226.485466540095,-0.507923840227828,0.2379686483872,0,0.999994379027214,1
"YDR441C",195.251671420267,1.00063308196696,0.326508536311332,1.41690960730604,0.0782786008629158,1
"YDR442W",4.46659498381746,-0.309189039704662,0.777127043773287,0,0.86215742271056,1
"YDR443C",379.131278358127,-0.119521227671633,0.253860406660655,0,0.995191764681015,1
"YDR444W",536.85402875171,-0.463783977032106,0.213421506112386,0,0.999998632495814,1
"YDR446W",2.92827631170102,1.68785233918235,0.98005689511445,1.17325059893392,0.120369122227426,1
"YDR447C",1845.46630373319,0.242286301840433,0.351332211253733,0,0.800004503708483,1
"YDR448W",169.191151735029,-0.322604902894999,0.184696764103618,0,0.999998384021448,1
"YDR449C",133.714787538565,0.0643514859267249,0.273953862102718,0,0.958065964919836,1
"YDR450W",3883.74963835438,0.182073867868785,0.29898934953278,0,0.883039744184866,1
"YDR451C",222.573092186109,-0.602138045987521,0.283184183715323,0,0.999971327660324,1
"YDR452W",2182.58430038191,-0.0843742542454726,0.159873282851706,0,0.999949983214018,1
"YDR453C",267.274466388338,0.625493341575602,0.279172645070988,0.313402273182441,0.376992548161034,1
"YDR454C",1086.56616877992,-0.306836314049985,0.220308169744523,0,0.999936571973139,1
"YDR455C",2.56551648711634,-0.570281147520099,0.927811256709206,0,0.883839257010991,1
"YDR456W",1094.19421765158,0.390275681692217,0.189238994269367,0,0.782473691229298,1
"YDR457W",1695.78714082571,-0.408965018846595,0.239763879982046,0,0.99996044150548,1
"YDR458C",654.523646912539,0.174068702320687,0.161353280870691,0,0.987932289478236,1
"YDR459C",383.687730332365,0.014053723433301,0.148431631419968,0,0.999790691698951,1
"YDR460W",497.46590058805,0.0640378144485976,0.179517985464689,0,0.99584717931002,1
"YDR461C-A",358.039840107773,0.485307718698411,0.581452366783855,0,0.536102066053784,1
"YDR461W",30.2898167912752,1.04133443870316,0.597170069404589,0.842866152359264,0.199667133205205,1
"YDR462W",774.762086972351,0.551327215345529,0.31456987822433,0.0423664701170928,0.483103928193571,1
"YDR463W",1558.34740139956,0.511267848043982,0.148287386176748,0,0.571527910361822,1
"YDR464W",547.555829799502,-0.633361681777604,0.224709039363566,0,0.999999904126967,1
"YDR465C",318.980704709799,0.301347812556984,0.311922492525145,0,0.775966982012643,1
"YDR466W",606.810218316335,0.0870087854050258,0.169877118670405,0,0.996022673795269,1
"YDR467C",50.9424836184057,0.346635154725411,0.315204592133426,0,0.728101495004083,1
"YDR468C",518.084160941613,0.27363869844705,0.235637742862492,0,0.869026218251906,1
"YDR469W",288.023212776951,-0.294733557470114,0.317481525826541,0,0.995631053373478,1
"YDR470C",570.068057248634,0.737295034884425,0.156437247962148,1.27396152438482,0.101361261939368,1
"YDR471W",1566.51977202575,0.0752207451209281,0.400139725402951,0,0.876249456395776,1
"YDR472W",274.556615008817,-0.0121014630750022,0.147776473646945,0,0.999900547345521,1
"YDR473C",645.726697622069,-0.403316175796701,0.17378313870407,0,0.999999968543726,1
"YDR475C",925.681281494311,0.148579727981141,0.283299401733841,0,0.915346913633764,1
"YDR476C",571.406018841972,-0.445561776791134,0.335453512098437,0,0.998310398645934,1
"YDR477W",1107.00135042974,0.272182960795855,0.185028039399199,0,0.92456455820603,1
"YDR478W",103.87291204679,-0.262199075498098,0.290463488996161,0,0.9970563767592,1
"YDR479C",991.705592120317,0.295931448632689,0.190056823491071,0,0.898586023608664,1
"YDR480W",325.244632409663,-0.512003251518359,0.140657790863934,0,0.999999999999953,1
"YDR481C",2367.58356256706,-0.106082701121215,0.168279141363931,0,0.999934658772631,1
"YDR482C",485.442535629356,0.122258227181953,0.540340543592703,0,0.779160164544327,1
"YDR483W",3018.22291089661,0.161180368420181,0.131587084491539,0,0.997899369460716,1
"YDR484W",371.375765339571,0.394798475620868,0.188468686275443,0,0.776303958074278,1
"YDR485C",780.598634684309,0.107169955281429,0.185012953953925,0,0.990045912273785,1
"YDR486C",927.259570861807,0.424920271098213,0.238401598126971,0,0.682357800284354,1
"YDR487C",1723.73842105956,0.0936637132478474,0.303531843970527,0,0.928363434132926,1
"YDR488C",93.8488295164376,-1.55215851362993,0.421336755133585,0,0.999999640038796,1
"YDR489W",260.500854730998,0.324419705317096,0.133310291551749,0,0.945412210973888,1
"YDR490C",878.684957808007,0.332943114123907,0.177431078341657,0,0.876076608845575,1
"YDR491C",27.7210583466741,0.882064572543299,0.438249624299053,0.785088117516597,0.216215235532976,1
"YDR492W",1160.86193448312,1.17624286919345,0.277083685078183,2.30342998727393,0.0106430085797813,0.427240772988364
"YDR493W",385.232226700598,0.632130878014068,0.386151627784062,0.243766622334962,0.403709626089093,1
"YDR494W",1684.11971519883,0.220000017669647,0.31648718471621,0,0.842479923778698,1
"YDR495C",420.052477014397,0.125132677603737,0.295514954915121,0,0.918786163017105,1
"YDR496C",400.887283200624,0.16160805625598,0.230797083232284,0,0.948513238871799,1
"YDR497C",6104.35012914564,-0.21118240908916,0.29195489807804,0,0.994846301288417,1
"YDR498C",458.551536545434,0.0450737091533748,0.183762122829443,0,0.99633613718266,1
"YDR499W",299.285360607149,-0.723320788197437,0.254289285470434,0,0.999999638932454,1
"YDR500C",3401.61370238238,0.0617655612385858,0.435615105989891,0,0.862836857733449,1
"YDR501W",192.919637452832,-1.73966799316077,0.206992281878481,0,1,1
"YDR502C",1267.4069821833,1.30478667451366,0.564803663908957,1.35761632494873,0.0873162550467482,1
"YDR503C",230.591138027795,0.427072208398723,0.153931408412339,0,0.76441887036862,1
"YDR504C",168.895328390098,-0.17180964915561,0.417306250745659,0,0.955498267431245,1
"YDR505C",2427.72652113183,-0.382244728622571,0.277035222690802,0,0.999550278974668,1
"YDR506C",184.473927041202,0.68228752500703,0.192715208484886,0.748708553629,0.227029966064721,1
"YDR507C",843.989165697307,-1.27696683205289,0.327915751749506,0,0.999999983818829,1
"YDR508C",1859.82727011925,-0.95996973617847,0.501330300331911,0,0.998590666555485,1
"YDR510C-A",41.9824484799142,0.595177753950015,0.410216767764745,0.139384243753794,0.444575416728127,1
"YDR510W",909.227591800377,0.410587729721725,0.221839242287176,0,0.717122913850926,1
"YDR511W",632.897640770992,0.719384953170938,0.26598073063502,0.681947721317582,0.247648132822899,1
"YDR512C",683.186773710901,0.172049524826337,0.272400389905205,0,0.910409975180771,1
"YDR513W",4139.26786148112,0.757808675787692,0.19839766592318,1.10791966611544,0.133968718439413,1
"YDR514C",231.597449475446,0.011975178403547,0.232086011902615,0,0.988273518915646,1
"YDR515W",240.12999646044,0.324172938215622,0.305002512945777,0,0.758356733293517,1
"YDR516C",2729.54216482558,0.195179931669295,0.25137666648185,0,0.913656514965131,1
"YDR517W",1116.04795572176,-0.374357179222478,0.245084165464515,0,0.999900588249122,1
"YDR518W",459.748674208446,0.360178855694595,0.173189378114939,0,0.847710402290874,1
"YDR519W",290.063388368036,0.579890121556069,0.289733669175735,0.144581476068151,0.442522899193789,1
"YDR520C",378.37040808252,0.225598313726753,0.210001130190817,0,0.931550096779986,1
"YDR522C",43.8522226172257,-0.556830891943608,0.337832288386126,0,0.999400930105812,1
"YDR523C",36.2448575744593,0.111826842622436,0.412465078365086,0,0.849233731314914,1
"YDR524C",553.134187428918,0.664080248075652,0.184769094601344,0.68236654158901,0.247515740672829,1
"YDR524C-A",0.856636106271822,-0.195248287100701,1.66917671383879,0,0.669766057044429,1
"YDR524C-B",4482.3344390161,-0.866061615869997,0.367436492617785,0,0.999932989469179,1
"YDR524W-C",1881.35313364159,-1.01405433025469,0.401024072317044,0,0.999945101709254,1
"YDR525W",2.38075556557718,1.07475258485204,1.06719527397789,0.502956298570676,0.307506004977437,1
"YDR525W-A",532.224411002088,0.493211492392664,0.21654971892279,0,0.58192460430418,1
"YDR526C",1.5282654260419,-0.878356574156372,1.51641771217695,0,0.824834550544701,1
"YDR527W",328.249601095349,0.459465162268829,0.202216049487729,0,0.65112287887252,1
"YDR528W",92.3775715986951,0.181762273204639,0.341081521186761,0,0.851838692316939,1
"YDR529C",13374.6067303782,-0.198392960132799,0.20150549230665,0,0.999870121833093,1
"YDR530C",1537.44664916326,0.166726673482464,0.162054754538125,0,0.989003444608408,1
"YDR531W",439.190679487355,-0.0148794691806271,0.169436930814659,0,0.999446037830005,1
"YDR532C",431.785115544969,-0.409827190135586,0.204927279735162,0,0.999998092533931,1
"YDR533C",1830.878522075,2.30407977779263,0.338212388573936,5.22180688069784,9.13391640848109e-08,6.53960123951976e-05
"YDR534C",191.804516463346,0.95716143313215,0.363910664082012,1.15182508924137,0.124717623635314,1
"YDR535C",63.113778269221,1.33038178943654,0.306774380464617,2.58294642543635,0.00490883302445877,0.24472907868713
"YDR536W",2136.09953129989,1.01860302925687,0.388140177177284,1.23822025524905,0.107839522950771,1
"YDR537C",13.6669019742969,-0.265702086067218,0.370511022536215,0,0.984947146766325,1
"YDR538W",67.5190336208739,-0.118626770616264,0.306453767646285,0,0.983911382812791,1
"YDR539W",588.272427706766,-0.269878181875261,0.151617516372404,0,0.999999948795542,1
"YDR540C",56.9150690234503,-0.75789994323663,0.335462897214733,0,0.999943459707149,1
"YDR541C",93.4256728296905,0.40105584723243,0.178603942928184,0,0.778370315637183,1
"YDR542W",1.04815634256923,-1.58540175439961,1.80399750801131,0,0.8803914294406,1
"YDR543C",0.6107904901063,0.23267917692041,2.35917629860838,0,0.551484706901333,1
"YEL001C",727.115985438215,-0.0431832538308776,0.168694708928866,0,0.999712857254541,1
"YEL002C",1811.71119921115,0.0881113827025068,0.171398917355422,0,0.995654933289993,1
"YEL003W",225.891394092567,-0.297273773192475,0.330566032050469,0,0.994232879649164,1
"YEL004W",193.605832666184,0.495125406105509,0.174207753935137,0,0.597198298830102,1
"YEL005C",755.029291936928,0.451407091363613,0.189468352548162,0,0.676167990640259,1
"YEL006W",630.970232023877,-0.093061892571883,0.140303029014583,0,0.999996508218521,1
"YEL007W",1476.36600442118,-0.147601280558547,0.248423824778284,0,0.997100118188969,1
