"","chr","tracking_id","X112_2","X112_0","X112_1","X115_0","X115_1","X115_2","X117_0","X117_1","X117_2","X123_1","X123_0","X123_2","X141_1","X141_0","X141_2","X152_1","X152_0","X152_2","X29_1","X29_0","X29_2","X50_1","X50_0","X50_2"
"3893",11," YKL011C",36.6532,32.7825,39.2734,38.9863,40.2319,34.6964,43.6978,41.8828,37.6189,52.873,37.4797,42.5293,39.4208,32.0711,31.2943,36.9945,42.1665,32.3177,39.4195,33.1846,41.937,32.6365,44.4269,39.7886
"3894",11," YKL012W",60.2907,53.6557,75.963,64.9322,63.2645,60.8611,69.7107,72.3852,55.4433,66.664,66.6399,60.5369,67.0638,53.0886,50.8343,53.2795,61.5258,55.9199,66.4059,98.4249,58.9813,100.2957,96.6966,58.3108
"3895",11," YKL013C",656.323,633.164,758.59,667.513,545.204,601.799,702.484,626.476,708.64,622.138,637.5,662.651,770.447,602.109,694.329,498.86,643.089,518.792,464.086,719.699,611.9,312.048,578.004,545.566
"3896",11," YKL014C",7.59767,20.3896,5.34249,6.29142,7.70252,12.2115,3.59407,7.50102,8.55796,5.40254,5.87551,6.93184,9.16878,8.5697,10.6398,11.7435,10.34947,12.1421,6.66444,1.9581,18.4286,4.01545,2.3497,13.2211
"3897",11," YKL015W",25.0148,26.8119,33.6102,31.0615,46.7606,27.962,25.7749,43.2604,28.1435,29.4512,30.0568,30.6424,27.3787,17.4209,34.6083,29.2076,28.8927,30.6679,36.34,37.6717,28.422,35.0198,34.8436,32.2578
"3898",11," YKL016C",969.607,684.178,3289.42,6031.67,3132.9,1044.57,7402.36,3364.41,1380.01,4754.77,6712.74,1438.49,793.901,3482.22,781.269,1060.04,1812.11,581.375,3309.51,3465.85,840.045,4836.93,5566.62,1073.12
"3899",11," YKL017C",20.2404,18.6795,36.1974,18.3743,26.8922,19.6478,18.3208,26.7695,21.1928,27.66,18.5136,22.5993,23.7497,16.654,19.361,20.9597,23.7337,17.8882,20.4934,14.2928,23.5836,14.2956,13.1473,24.3484
"3900",11," YKL018C-A",428.312,344.53,891.379,838.069,739.858,438.914,1217.53,891.353,409.371,638.468,949.194,510.547,285.769,486.449,390.26,327.906,518.272,452.672,559.723,342.159,277.951,484.866,666.465,400.831
"3901",11," YKL018W",32.7199,42.1086,41.3677,30.6501,18.4426,41.9717,30.1876,15.0789,36.601,37.2333,26.323,32.8638,29.0996,31.6954,39.0265,36.0579,32.2775,43.4037,35.7108,19.7031,30.9049,26.5028,23.5271,29.9137
"3902",11," YKL019W",169.275,141.576,128.332,127.568,145.026,170.756,124.094,148.766,149.94,135.885,147.456,137.409,164.815,150.98,136.711,133.647,152.942,140.946,111.944,161.003,159.764,133.453,152.528,144.44
"3903",11," YKL020C",31.2372,29.2412,34.8444,30.5503,35.4702,30.6414,32.1228,42.9907,34.2518,39.7751,35.8528,33.859,31.055,50.0366,29.1176,28.9019,21.5061,27.0249,40.2624,58.5188,27.1599,47.3282,34.5823,31.1352
"3904",11," YKL021C",52.3595,88.1142,41.2782,53.5687,59.5998,76.8184,45.6406,55.9977,48.5044,53.796,43.1861,52.2475,54.3972,37.6848,65.1828,70.8913,62.6674,79.8867,51.425,37.1838,74.2765,44.3281,45.7762,55.5712
"3905",11," YKL022C",24.3368,23.4539,25.7188,29.2331,33.6402,28.8033,25.5638,34.6554,29.7864,29.2586,29.9061,27.1927,26.3731,30.7663,23.9331,27.4188,27.9122,22.3726,33.3692,29.2624,24.8561,36.7282,27.2456,27.4829
"3906",11," YKL023C-A",542.406,704.491,253.703,277.423,182.843,611.077,379.341,214.024,280.13,345.514,252.637,356.002,461.643,210.178,665.559,412.548,435.309,776.01,270.628,671.088,594.25,280.753,548.967,400.206
"3907",11," YKL023W",127.077,68.1574,185.25,127.389,181.889,138.846,106.445,208.822,137.318,125.314,117.354,136.379,158.829,97.1687,81.0754,110.217,103.803,82.0092,125.4,208.799,156.861,173.937,160.471,130.821
"3908",11," YKL024C",341.301,477.924,207.137,335.939,257.05,407.002,231.015,221.53,320.32,232.842,371.611,309.745,422.124,132.497,448.093,410.396,494.548,447.367,216.593,462.54,615.733,200.97,315.359,395.095
"3909",11," YKL025C",34.4375,40.8926,37.3418,40.6262,36.0503,37.1933,31.9848,44.8286,41.0378,36.8963,35.9304,40.6722,36.2189,37.0236,44.8276,36.3514,28.6368,44.1797,40.0511,29.2304,35.5032,38.7624,33.4794,37.3157
"3910",11," YKL026C",441.674,123.939,2590.98,1659.21,1414.87,263.984,1769.96,1474.78,282.029,1131.93,1909.68,304.083,703.195,619.774,162.005,233.709,297.115,147.362,544.739,1027.22,318.296,1041.45,1486.02,365.665
"3911",11," YKL027W",49.0833,69.0361,117.986,96.9614,81.0247,69.3952,91.1362,80.3996,65.6041,72.9372,115.202,64.3282,43.8426,48.0348,61.7388,64.6435,72.8116,67.6138,42.4787,45.2832,64.2554,52.2362,73.1424,59.148
"3912",11," YKL028W",71.4902,69.8394,42.3795,54.9918,52.985,54.9461,53.6497,66.9782,58.8235,51.8316,48.6461,61.4751,73.8976,55.8175,72.6487,79.7712,58.6561,71.1675,63.4868,62.986,80.2433,62.808,51.1677,67.5579
"3913",11," YKL029C",112.977,196.869,7.54956,11.7517,20.5967,151.13,11.9136,21.2149,140.764,27.4108,15.8722,90.0805,111.945,96.5178,298.137,151.549,51.9897,215.254,32.0894,14.6143,266.577,19.1175,6.25207,173.435
"3914",11," YKL030W",25.7599,71.9862,5.33925,9.03809,11.2965,41.4727,7.72219,12.321,42.522,8.24512,12.3044,33.5313,37.6339,31.3388,79.5765,31.7987,20.0463,44.4092,13.848,11.1578,92.6961,9.43766,7.01514,59.2109
"3916",11," YKL032C",41.9059,46.6894,19.1897,33.2483,31.0059,48.2377,20.1337,29.8759,47.8239,27.0039,36.0244,42.8393,44.9939,93.0119,61.4628,38.4462,20.6406,49.4996,46.683,122.337,59.8723,103.536,41.5196,61.264
"3917",11," YKL033W",11.9614,12.5353,11.8796,15.4689,17.2287,15.9629,11.5193,18.7671,14.8085,14.5388,14.6212,15.1349,14.5318,11.8669,9.88102,17.2224,15.6043,12.6333,18.7827,10.5783,14.4982,12.6811,13.8609,15.9016
