"","s1FC"
"YBR180W",-1.85735492639338
"YBR181C",-1.17547872603777
"YBR182C",0.88068722053607
"YBR182C-A",1.54050074951991
"YBR183W",2.24395491199844
"YBR184W",-0.694505912083938
"YBR185C",0.78721313119435
"YBR186W",-0.467316056320812
"YBR187W",0.363532729124629
"YBR188C",-0.867773662291782
"YBR189W",-1.88947565760829
"YBR191W",-1.49953182982157
"YBR191W-A",-1.58298353938264
"YBR192W",0.998400745409051
"YBR193C",-0.246934485633199
"YBR194W",-0.281107888173053
"YBR195C",0.701042399683465
"YBR196C",-0.92298269672694
"YBR196C-A",-0.0223723627697484
"YBR196C-B",-0.798426480768784
"YBR197C",-0.722265341124871
"YBR198C",0.141481821323544
"YBR199W",0.546567689647688
"YBR200W",0.19789414257947
"YBR200W-A",-2.1444382327488
"YBR201C-A",-0.596864497789216
"YBR201W",0.776007447662742
"YBR202W",-0.323822630333025
"YBR203W",1.10121879349838
"YBR204C",0.241513503977393
"YBR205W",-0.397842613020049
"YBR207W",0.0975707921221471
"YBR208C",-0.413262911458382
"YBR209W",-1.08320035742138
"YBR210W",0.197179199036541
"YBR211C",1.01427828079588
"YBR212W",-0.0292612469495227
"YBR213W",1.63023416902844
"YBR214W",0.277226850302631
"YBR215W",-0.610390428885951
"YBR216C",0.140077388384557
"YBR217W",0.00496972358647683
"YBR218C",-0.21683629085299
"YBR220C",-1.25748330114155
"YBR221C",-0.749002414126694
"YBR221W-A",-1.06120121030577
"YBR222C",-1.40061654513581
"YBR223C",-0.0776772146831188
"YBR225W",0.622041905145111
"YBR226C",0.624945479608041
"YBR227C",0.0882331277144418
"YBR228W",-0.473263458559496
"YBR229C",-0.062125312604813
"YBR230C",-1.56578891680265
"YBR230W-A",-0.183531897689662
"YBR231C",-0.0642372669851441
"YBR232C",-0.529310329134741
"YBR233W",0.350398455650652
"YBR233W-A",-0.660764637983744
"YBR234C",-0.299921768754577
"YBR235W",-0.0752739702285291
"YBR236C",-0.314012408798781
"YBR237W",0.220758605742859
"YBR238C",1.12139806545276
"YBR239C",0.979552890652752
"YBR240C",-0.358473240325124
"YBR241C",-1.1615108211544
"YBR242W",-0.93299099718889
"YBR243C",-0.194730248747051
"YBR244W",0.210768616302718
"YBR245C",-0.694091652219083
"YBR246W",-0.256922291317317
"YBR247C",-0.0274603072177691
"YBR248C",-1.15549454563286
"YBR249C",-2.22774008090396
"YBR250W",-1.84429148743799
"YBR251W",1.12952154524265
"YBR252W",-1.44201847653692
"YBR253W",-0.434199394933682
"YBR254C",0.241990785438044
"YBR255C-A",-0.409907462925775
"YBR255W",0.459014048028459
"YBR256C",-0.344531451612415
"YBR257W",0.342416662443991
"YBR258C",0.953061601161987
"YBR259W",-0.378969284122847
"YBR260C",0.735556507175369
"YBR261C",-0.488807043416976
"YBR262C",0.875391613954655
"YBR263W",-0.854854171849008
"YBR264C",-0.546081766701512
"YBR265W",-1.69446112076275
"YBR267W",-0.560293411334598
"YBR268W",0.911599265471456
"YBR269C",-0.512022796711029
"YBR270C",0.303324704011948
"YBR271W",0.556631166748396
"YBR272C",0.477393850696212
"YBR273C",0.0900484046772007
"YBR274W",0.25622575102078
"YBR275C",-1.24966946382655
"YBR276C",-0.118371922370161
"YBR278W",-0.129188776953214
"YBR279W",0.349194794948937
"YBR280C",-0.718757251786908
"YBR281C",0.400901393555306
"YBR282W",1.58556780948752
"YBR283C",-0.629047662299718
"YBR284W",1.81093313846233
"YBR285W",-2.88190232507959
"YBR286W",-0.480837667083934
"YBR287W",0.811695262987399
"YBR288C",0.337869137106612
"YBR289W",-0.323381381366084
"YBR290W",0.425411295785751
"YBR291C",-0.0413556330524384
"YBR292C",-0.950839401702465
"YBR293W",-0.29521421115318
"YBR294W",0.158618715291339
"YBR295W",-0.701223819896154
"YBR296C",-1.68242280279669
"YBR296C-A",-4.8447753630426
"YBR297W",1.27754110126252
"YBR298C",1.97481687283813
"YBR298C-A",3.67294942299836
"YBR299W",1.74566695456766
"YBR300C",2.72334393144122
"YBR301W",0.756216126296075
"YCL001W",-0.288630324221666
"YCL001W-A",1.03939366564078
"YCL001W-B",0.0621583166902074
"YCL002C",0.592476534186462
"YCL004W",0.817210639752079
"YCL005W",0.19335399641334
"YCL005W-A",0.421278602984314
"YCL007C",3.42754986168439
"YCL008C",-0.828537369717319
"YCL009C",-1.51430880434275
"YCL010C",-0.0835980345445842
"YCL011C",-0.0309326315721816
"YCL012C",0.887899369136936
"YCL014W",-0.908697079106709
"YCL016C",0.211306336060817
"YCL017C",0.462303408794553
"YCL018W",0.082021440667012
"YCL019W",0.489192188606496
"YCL021W-A",-1.00249674867711
"YCL023C",1.16144292156309
"YCL024W",1.08038448089777
"YCL025C",-0.177542536565453
"YCL026C-A",-1.34539892633422
"YCL026C-B",1.65054626017636
"YCL027W",-0.0916364323162271
"YCL028W",-1.40931891258279
"YCL029C",-0.556555558558148
"YCL030C",-1.73820683391303
"YCL031C",0.0462041366019805
"YCL032W",-0.675327928649665
"YCL033C",-0.884480286688304
"YCL034W",-0.258889003971278
"YCL035C",0.487576622852528
"YCL036W",-0.355214783277329
"YCL037C",-0.4072008232942
"YCL038C",0.174686460851336
"YCL039W",0.70128535168861
"YCL040W",0.183900015858628
"YCL043C",-0.353491224656116
"YCL044C",0.0433692862274943
"YCL045C",0.285791440227481
"YCL046W",0.525578734867098
"YCL047C",1.24088846732678
"YCL048W",-0.446144088765485
"YCL048W-A",-2.52936240173324
"YCL049C",1.35093895603939
"YCL050C",0.100399825174588
"YCL051W",1.40194271429584
"YCL052C",0.334826568917856
"YCL054W",-0.872367921910715
"YCL055W",-1.07671853803799
"YCL056C",-0.608794815980971
"YCL057C-A",-0.300588318087693
"YCL057W",-0.140695923784856
"YCL058C",0.259170966414185
"YCL059C",-0.277239817438402
"YCL061C",-0.970466650672345
"YCL063W",0.80607409004787
"YCL064C",2.08822432445366
"YCL069W",-1.13577632220745
"YCL073C",-1.69134217975511
"YCR001W",-1.16836185582637
"YCR002C",-0.178287585574125
"YCR003W",1.94529742230294
"YCR004C",-1.18919869747423
"YCR005C",-0.464159188023645
"YCR006C",-1.03162879796798
"YCR007C",-0.127112304859891
"YCR008W",1.22799757064941
"YCR009C",0.402507500098618
"YCR010C",-7.07594317016419
"YCR011C",-0.183672303916443
"YCR012W",-3.19556566999547
"YCR013C",-1.75586158743661
"YCR014C",-1.11738352763391
"YCR015C",-1.4103200129623
"YCR016W",0.268154722003307
"YCR017C",-0.281512669714706
"YCR018C",1.8963461390713
"YCR018C-A",-1.38828936709588
"YCR019W",0.138972165681628
"YCR020C",1.79663222143285
"YCR020C-A",0.17897522518766
"YCR020W-B",0.482204764295337
"YCR021C",1.63455094147659
"YCR022C",0.991512464731692
"YCR023C",0.519881788053055
"YCR024C",1.18788931387795
"YCR024C-A",-0.96020056091775
"YCR024C-B",-0.949921213335854
"YCR025C",2.113289874203
"YCR026C",-0.191162631246293
"YCR027C",0.348752962819528
"YCR028C",-0.0784649725159886
"YCR028C-A",-1.50864915729913
"YCR030C",0.299458265041021
"YCR031C",-0.696199282141042
"YCR032W",0.264664706258653
"YCR033W",0.780321816905716
"YCR034W",-1.87482611547106
"YCR035C",0.27285963851826
"YCR036W",0.537199124025696
"YCR037C",-0.442898058826509
"YCR038C",0.8271854601108
"YCR042C",-0.205286306267541
"YCR043C",0.595883737352553
"YCR044C",0.911955664893754
"YCR045C",-0.302607692176874
"YCR046C",0.909748809835114
"YCR047C",0.0429321970331197
"YCR048W",0.464012965482218
"YCR050C",-0.197359231742659
"YCR051W",-1.75210053776644
"YCR052W",-0.122480666694561
"YCR053W",-0.692114333590793
"YCR054C",1.07239684092124
"YCR057C",-0.762194645184644
"YCR059C",-0.484135943647612
"YCR060W",-0.536981801523926
"YCR061W",1.28065992684043
"YCR063W",-0.383388403809235
"YCR064C",-1.80001290078286
"YCR065W",-0.151213875886303
"YCR066W",0.403133065620516
"YCR067C",0.418242708139815
"YCR068W",-0.370716363075409
"YCR069W",-0.791201034839775
"YCR071C",1.3016899980358
"YCR072C",-0.532672247892862
"YCR073C",0.363509334053577
"YCR073W-A",-0.103109343557211
"YCR075C",-1.07435013852472
"YCR075W-A",0.158917257295494
"YCR076C",-0.584604264152329
"YCR077C",0.115310568993539
"YCR079W",-0.186592385178085
"YCR081W",-0.507502104586747
"YCR082W",-0.355605285956456
"YCR083W",-0.309772051650738
"YCR084C",-0.673394859614485
"YCR085W",-0.405324157050452
"YCR086W",-0.80028587078671
"YCR088W",0.124535817521059
"YCR089W",-0.360610751041503
"YCR090C",-0.452362246590534
"YCR091W",0.608106697282515
"YCR092C",0.014610938507013
"YCR093W",-0.126327557383547
"YCR094W",-0.960719431916261
"YCR095C",0.195061539724672
"YCR095W-A",-0.0383288190956841
"YCR097W",0.774320006148683
"YCR098C",-0.367873943397759
"YCR100C",0.493712824935773
"YCR101C",0.72555729168511
"YCR102C",3.48211896431739
"YCR102W-A",4.94516510891861
"YCR104W",4.53044658151708
"YCR105W",-0.577467111302899
"YCR106W",0.684256505133939
"YCR107W",0.582695502758407
"YCR108C",-0.228612639041918
"YDL001W",0.659718056013256
"YDL002C",0.601527624798831
"YDL003W",-2.06003238624492
"YDL004W",-0.485191652571173
"YDL005C",-0.15224702086781
"YDL006W",-0.10563751891683
"YDL007C-A",-4.48937872551795
"YDL007W",0.103878278576906
"YDL008W",-0.269697139176967
"YDL009C",1.07410534795874
