"","GENEID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"YPL168W","YPL168W",590.267246744655,0.359632087140592,0.207103175782762,1.73648755399977,0.0824776631492588,0.364293111343579
"YPL169C","YPL169C",473.669097577251,0.326194098245431,0.189997497976586,1.71683365159697,0.0860095704311277,0.371724047340022
"YPL170W","YPL170W",1451.52301633329,-0.130339493315787,0.276946280691371,-0.470630957709221,0.637904296283288,0.86188510678436
"YPL171C","YPL171C",6400.13598509847,-0.077598358682599,0.532838959501982,-0.145631916170556,0.884211971123528,0.958657678604269
"YPL172C","YPL172C",158.767149315452,0.39224047419021,0.180429099132404,2.17393134520044,0.0297102915887342,0.222964916744064
"YPL173W","YPL173W",333.523443621873,-0.0377683809797795,0.17187764352912,-0.219739927801492,0.826073706679161,0.940014887777707
"YPL174C","YPL174C",206.410319589364,-0.129125978406842,0.183287110510072,-0.704501140573909,0.481120740014106,0.77842093458593
"YPL175W","YPL175W",386.441180993059,0.404643609333862,0.223051730760512,1.81412449907561,0.0696585605675967,0.333098907994365
"YPL176C","YPL176C",675.302799842955,-0.399585167275298,0.146627262087233,-2.72517648892314,0.00642671234324805,0.103340625007975
"YPL177C","YPL177C",889.088094185192,0.0279688915103881,0.258209012670965,0.108318804293748,0.913742806707226,0.971283260685926
"YPL178W","YPL178W",720.093250923753,0.177559600638021,0.16692850688024,1.0636865084129,0.287470738297917,0.633069295638915
"YPL179W","YPL179W",981.977985494408,0.0445793167226102,0.156046931117624,0.285678907001429,0.775124061490157,0.920129305866163
"YPL180W","YPL180W",255.112091353549,-0.756673277829339,0.250930336028649,-3.01547150418253,0.00256580047291,0.0685746484882455
"YPL181W","YPL181W",1051.11324664412,-0.312123171820889,0.213759542096498,-1.460160181668,0.14424605585838,0.474897241425672
"YPL183C","YPL183C",275.149247588484,0.422159376468567,0.195291049898042,2.16169341446507,0.0306418155933624,0.225769216062407
"YPL183W-A","YPL183W-A",540.817481183278,0.104531631883965,0.211351762827918,0.494586042175926,0.620892356793763,0.854433434454768
"YPL184C","YPL184C",349.417006060326,-0.598525615105681,0.216245671383868,-2.76780391152066,0.00564353999076195,0.0980868024161264
"YPL185W","YPL185W",92.6919712275246,-0.320516616809658,0.41279101857554,-0.776462186400512,0.437476139312464,0.750451046123046
"YPL186C","YPL186C",2496.30801510172,-0.474019268059245,0.242542241248832,-1.95437819663311,0.0506565072685371,0.288752283886852
"YPL187W","YPL187W",336.364186411515,0.714655421627717,0.544006078400166,1.31369014061277,0.188950500209532,0.530449878907946
"YPL188W","YPL188W",392.717918793703,0.427815090992616,0.190241175431907,2.24880386709839,0.0245249772421045,0.199080975721725
"YPL189C-A","YPL189C-A",975.167665223021,-0.326232407848854,0.286204983080702,-1.13985579264658,0.254346385094246,0.598971994157937
"YPL189W","YPL189W",62.7772928388369,0.248477516247917,0.309086475505081,0.803909377923695,0.42144931365051,0.74092552547869
"YPL190C","YPL190C",695.118274099353,-0.814857857812564,0.255305018702614,-3.19170324952262,0.00141436561728745,0.0530714939572893
"YPL191C","YPL191C",159.180273855322,-0.0277495912982996,0.165185833165651,-0.167990140355873,0.866591035705646,0.954118784901076
"YPL193W","YPL193W",258.515864297762,0.248657493216617,0.216273046140616,1.14973871064333,0.250251505353696,0.594569474661137
"YPL194W","YPL194W",43.925860865636,-0.606497482363888,0.373683937826914,-1.62302261609331,0.104584570320204,0.411504210200137
"YPL195W","YPL195W",456.834347169462,0.0542522423160964,0.148882588829261,0.364396150971777,0.715562209276483,0.897853466469381
"YPL196W","YPL196W",1223.52059572371,-0.0762976652331146,0.243429098584853,-0.313428697212709,0.753954984561819,0.912249117073319
"YPL198W","YPL198W",125.0825841483,0.697357758359982,0.335558106580179,2.07820268586882,0.0376906948314333,0.250358120650529
"YPL199C","YPL199C",588.275188122931,0.184174562613296,0.175922125845353,1.04690960121297,0.295141273237051,0.640646920363257
"YPL200W","YPL200W",202.012267047555,-0.327178746804158,0.40289037876238,-0.81207882851212,0.416746400642072,0.737837828503836
"YPL201C","YPL201C",1637.05291109513,-0.268085484806097,0.500856293634542,-0.535254299912441,0.592474022920344,0.839426170533608
"YPL202C","YPL202C",501.973745899382,0.0399353544089097,0.231133724457801,0.172780300679145,0.862824121931582,0.953107558931536
"YPL203W","YPL203W",1770.34972408096,-0.189648766618514,0.276272527291458,-0.686455394163899,0.492425983377445,0.786309899694369
"YPL204W","YPL204W",1402.8510143752,-0.104296155939031,0.169510138099159,-0.615279753226441,0.538369986233715,0.812141731096972
"YPL206C","YPL206C",1551.79847579616,0.0227895966253236,0.191766210670869,0.118840522246318,0.905401704042759,0.969201759722376
"YPL207W","YPL207W",1107.28024171273,0.240627322010559,0.362145673058833,0.664448977059759,0.506402994885991,0.792762947045928
"YPL208W","YPL208W",163.676643375665,0.292863525874537,0.267442225153784,1.09505342960011,0.273493229559668,0.6206000511764
"YPL210C","YPL210C",234.619777378175,0.570637204659452,0.188234436244771,3.03152396577119,0.00243322603698707,0.0667991584838442
"YPL211W","YPL211W",183.395615549229,0.443145747417268,0.358657011676478,1.23556973094116,0.216618541819957,0.564042878927463
"YPL212C","YPL212C",388.834249456587,0.328262604856921,0.207718899375656,1.58032131810627,0.114033300221351,0.429319643348398
"YPL213W","YPL213W",433.50588059069,0.0462855051092826,0.214124216744804,0.216161935408017,0.828861523238291,0.940474099117839
"YPL214C","YPL214C",618.703459418438,0.0394289058500726,0.141208351502413,0.27922502763159,0.78007213789547,0.921559335390816
"YPL215W","YPL215W",428.035990649531,0.203378305019909,0.133977030444466,1.51800875377821,0.129012191904902,0.45011273357954
"YPL216W","YPL216W",277.971965957014,0.283295350600449,0.141200128323176,2.00633918654839,0.0448200718247297,0.273948788520948
"YPL217C","YPL217C",410.149024982028,-0.156014989248909,0.277588403905838,-0.562037127825524,0.574090723194751,0.829499865581907
"YPL218W","YPL218W",1450.09614118488,0.0387847798802251,0.230500529441846,0.168263300627299,0.866376144034716,0.954118784901076
"YPL219W","YPL219W",228.351440788228,-0.21645306392889,0.211993666266105,-1.02103552309523,0.307237608880089,0.650769454921339
"YPL220W","YPL220W",1019.06051508856,0.617784154989146,0.314091810342909,1.96689036340897,0.0491958517469288,0.285535124836171
"YPL221W","YPL221W",1135.20595927359,-0.0616498268035199,0.393958733802993,-0.156488031648384,0.875648352385084,0.957351444028551
"YPL222W","YPL222W",579.42475926606,-0.326479466521851,0.225360907381651,-1.44869609514376,0.147422471448526,0.479246578559286
"YPL223C","YPL223C",1019.66172320079,-0.970259436681895,0.635664006355928,-1.52637152171649,0.126917365804598,0.447210071299038
"YPL224C","YPL224C",662.274985415617,-0.0378236202266495,0.158331418344789,-0.23888891176534,0.811191723803242,0.931916526169743
"YPL225W","YPL225W",2879.74804758982,0.0562903998206558,0.204936774772921,0.274672029376026,0.78356822222547,0.923397992331429
"YPL226W","YPL226W",536.186017472229,0.403217647636593,0.341677897432254,1.18011042173584,0.237956300149872,0.58722142711201
"YPL227C","YPL227C",56.3418111318025,0.890040639201286,0.365434727806031,2.43556665931791,0.0148684847802225,0.159857371470096
"YPL228W","YPL228W",216.333646359833,0.208615754629895,0.201178922774646,1.03696625746217,0.299751582930471,0.644286999821503
"YPL229W","YPL229W",549.438079102582,0.00821782003039337,0.200602395850721,0.0409657122764809,0.967323230543506,0.986180577387222
"YPL230W","YPL230W",1355.91583963327,-0.894488226913606,0.343679628983115,-2.60268037870104,0.00924981426625551,0.125082213920295
"YPL231W","YPL231W",1642.1103097018,-0.80379566606733,0.440549060122073,-1.82453156487181,0.0680717488301094,0.331349850444256
"YPL232W","YPL232W",1673.85569985811,-0.215765259945857,0.165808905446622,-1.30128872972578,0.193159643486579,0.533428122376231
"YPL233W","YPL233W",187.985971190022,-0.0289756469911582,0.246498485956738,-0.117548985660884,0.906425028132339,0.969201759722376
"YPL234C","YPL234C",1529.60627048315,0.108904943891741,0.249927398921182,0.435746318178125,0.663020796005573,0.875477937582748
"YPL235W","YPL235W",355.416320559719,0.18024058181004,0.156991289312879,1.14809288208867,0.25093022228288,0.595132121998659
"YPL236C","YPL236C",416.175876040696,-0.0612405869151457,0.169657068603,-0.36096690470616,0.718124187659501,0.89920257398425
"YPL237W","YPL237W",667.987569908137,0.37354059453578,0.248458326748049,1.50343359155989,0.132727269736254,0.453320082531574
"YPL239W","YPL239W",752.412927983096,0.824655919168685,0.423742496106225,1.94612512728003,0.0516397109318757,0.290050402779718
"YPL240C","YPL240C",12045.4949495173,0.494670828516648,0.407523879045965,1.2138450136338,0.224806913520329,0.574668590636092
"YPL241C","YPL241C",116.195634642093,0.213373045675802,0.257840967623098,0.827537406653325,0.407932529239101,0.733433558838837
"YPL242C","YPL242C",468.008815473652,0.169802478823696,0.198306319485754,0.856263578810932,0.391852002126801,0.719920053194051
"YPL243W","YPL243W",389.548609515191,0.611846114251355,0.185125825486601,3.30502841860731,0.000949667701704047,0.0441052478985446
"YPL244C","YPL244C",237.939899157597,0.145687580221991,0.198928929886733,0.732359945358087,0.463948899815431,0.767154103191521
"YPL245W","YPL245W",134.557178400006,0.844147958876221,0.308677113089091,2.73472804779207,0.00624318326223569,0.101942006812183
"YPL246C","YPL246C",361.192826806222,0.117953741124082,0.407005598624043,0.289808645195169,0.771962633665314,0.918179733142793
"YPL247C","YPL247C",371.353060031307,-0.852755400805163,0.35633923486952,-2.39309993780902,0.0167066897886172,0.16964176405431
"YPL248C","YPL248C",374.260122981337,-0.368742801926388,0.152512359022137,-2.41778964203725,0.0156151010314578,0.165500666247978
