"","Holly_59A","Holly_59B","Holly_59C","Holly_Anc_A","Holly_Anc_B","Holly_Anc_C"
"YNL298W",712.054781679947,716.168152014603,687.756807537431,502.502738451177,672.522115248759,698.54226842166
"YNL299W",73.6245712224466,114.295087078731,203.125606078471,97.9954020733233,126.621994267534,129.662528084957
"YNL300W",266.1002359897,340.453450872816,203.125606078471,254.935406897518,774.8259781669,549.021515314683
"YNL301C",685.760291957645,635.918410023153,737.434265545752,692.599082322736,638.141308858237,647.144509541137
"YNL302C",2588.42956826344,1861.55083316529,1828.13045470624,2139.68907985662,1826.37551996483,2441.39354682487
"YNL304W",180.90608928944,134.965475167438,185.462509897734,184.938691130858,197.899275808862,219.608606125873
"YNL305C",2373.86653212946,2529.08277791235,1769.62144860755,2466.09481758957,3031.38085613998,2307.05849520532
"YNL306W",851.941467002596,885.178972269322,1745.33469135903,1057.31881184375,913.187759982417,992.911251101022
"YNL307C",1375.72770227086,1387.34781230673,1166.86829143991,1036.68820088095,1168.10886102434,1367.88126475211
"YNL308C",781.472234546826,660.236513656926,779.384118975002,818.593170702724,667.490777728195,714.896100792736
"YNL309W",181.957868878332,245.612846701103,184.358566386438,193.043574009103,264.983776083052,238.298700264245
"YNL310C",635.274871690825,756.293023010328,741.850039590936,725.755421370101,662.459440207631,601.587405078855
"YNL311C",378.640652001154,476.634831221943,429.434025894158,380.192687743119,362.256301480628,414.686463695133
"YNL312W",729.935034691113,762.372548918771,610.480761746708,738.281149454662,772.310309406618,737.090587582053
"YNL313C",355.501501045528,447.453106861416,543.14020755765,407.454566515397,497.263858282437,420.527118113374
"YNL314W",388.106668301183,403.680520320625,280.401651869193,414.08583432487,380.704539056031,317.731600352327
"YNL315C",669.983598124264,588.498107937297,1503.5710623852,589.446027508712,608.791839988278,564.20721680211
"YNL316C",232.443289145153,288.169528060205,257.218838131976,229.147143194012,258.275326055633,251.148139984376
"YNL317W",400.728023367888,409.760046229068,437.16163047323,393.455223362065,464.560164398769,496.455625550511
"YNL320W",107.281518066994,113.079181897043,125.849560287748,125.257280845601,109.012312945559,122.653742783067
"YNL321W",996.035270680813,1164.83716405771,865.491712856093,781.752793983429,1254.48015512736,1172.80340718285
"YNL322C",1496.68235499345,2533.9463986391,1972.74705468602,1262.88811393742,2965.97346837265,2011.52138164231
