"","112B","112C","115B","115C","117B","117C","123B","123C","141B","141C","152B","152C","29B","29C","50B","50C","112A","115A","117A","123A","141A","152A","29A","50A","AncB","AncA","AncC"
"YDL055C",192.498127259173,222.904309048881,469.06702621728,236.306376738619,206.851753158465,429.706391896771,633.924894296682,359.220695806553,431.578680061806,1535.56237774283,602.292901017688,1716.36876912074,357.138874748407,273.570047685648,228.866117406554,394.468519081682,1968.31493422682,452.347805304142,195.954918451428,348.76595330777,510.218215517001,845.532113264287,118.847539532809,249.379774519272,534.097880142564,615.385460411381,1547.68384572236
"YDL056W",45.0489038416674,33.3898699227606,52.1777168777451,24.0171200657241,44.5692743556033,42.4111045408588,60.7334348966293,50.0121629580314,55.5268740957898,41.722589826645,53.1946892347312,45.4329202781427,51.2457907079203,39.9378767649368,45.9589160714987,46.3239580219155,41.3313358919322,45.3811714059172,35.9222309237632,36.5173519265554,56.8232182226265,46.2708224671531,25.9728957446118,38.0517572919064,56.7777043343518,47.5116298789106,45.5603443604448
"YDL057W",56.26589997895,22.4035256255942,51.4323209223487,12.7539189314535,51.0390077298038,28.8687441998963,34.4575705760669,31.2742725697556,38.1519441270853,17.5824125693151,33.2786795019974,21.8027606327842,31.7122871510433,19.3077152572211,25.0684996753629,37.6024720980364,22.9440878162177,40.8353494824042,29.1123293268412,42.9962369457829,27.2646381425668,38.9868994465174,10.1552791418506,32.1487400509185,32.039911894713,44.4220007682878,23.3588832517754
"YDL058W",60.24612441476,35.0593634188986,81.248159138203,26.0599555655673,68.2916300610051,47.9253590509514,67.5777468603686,48.2117250915423,67.6771747732055,38.7763477204355,67.9397041525392,50.1589522072144,84.0652400038877,58.8047766053263,75.8554230917463,56.8326336842945,49.3257915770255,52.8548108394893,45.1155980796078,49.3068392372383,53.1459067197755,58.5102013133033,28.6194230361244,66.5678713483708,71.9780346285877,52.7296701546291,49.6639319587297
"YDL059C",45.6821213655463,51.9697168959097,55.2657858358157,34.6729917270683,35.4936761501276,65.279042362125,92.1228656268819,70.5504912127963,76.0608822406224,13.8758499195676,62.7175113691489,19.4082377887212,157.37519059994,74.8504577779941,266.561713214692,46.3239580219155,11.831794413938,121.196235350607,116.619564847288,110.056903962983,31.2921697885465,82.0933946997877,266.1298606628,256.64502650818,49.1030277642229,60.1447800201238,18.8344148741793
"YDL060W",22.0721536894917,27.3581514851006,29.4963828063987,36.7710389971776,25.8789334968019,40.4648970667085,39.0991154710165,45.0109466622283,47.8721846690179,59.0198821921334,68.0421000894684,74.4192494431159,34.0847774615951,74.7622946946278,29.9893533153416,61.765277362554,78.3456657139141,39.1402972397384,26.7288637679186,38.0318964765047,40.3978935098919,71.2272144558886,14.4635793838478,25.8824602104852,47.3147536119599,52.6610117299486,59.0285292984054
"YDL061C",100.500667004202,77.1198285957955,124.268154278221,62.2788768600845,98.2141469166823,65.6034102744834,97.315102289029,78.5524372860813,131.709259343186,329.693995691644,104.341459730878,463.214142808082,85.5678172005706,111.261811208279,41.5951402020837,106.65948359367,382.055037190608,73.9659160436001,85.7196363512547,89.694693902553,122.279362973375,162.932999371433,20.249011137387,63.7525862026689,90.9039360733717,88.4320509884925,437.505570094064
"YDL062W",1.26643504775772,0.107709257815357,0.425940545940776,0.0552117702660324,0.80871667177506,0.243275934268789,0.629362019654189,0.0666828839440419,0.121503006774157,0,0.153593905393834,0.0630137590542895,0.316332041406915,0,0.185692590187874,0.142975179079986,0.0799445568509327,0.462286975272501,0.510742619769144,0.588989547202506,0.192621078720768,0.238817148217564,0.0615471463142461,0.0908156498613518,0.0745114230109604,0.137316849361013,0
"YDL063C",13.9307855253349,11.0940535549818,12.4587609687677,18.4959430391208,9.97417228522574,22.1381100184598,29.4226744188333,29.4738347032665,21.1415231787033,29.0822607903266,34.3026388712896,32.2000308767419,19.7707525879322,29.7991221778115,19.6834145599146,29.8818124277171,45.4884528481807,27.8142663455621,14.7264122033437,27.6825087185178,20.8556095233122,41.1959580675299,5.53924316828215,14.6213196276776,19.2239471368278,25.4036171317874,28.8303333828219
"YDL064W",19.1774450089026,16.910353477011,20.9775718875832,10.9319305126744,18.9599130827264,20.5973624347574,27.0625668451301,19.7381336474364,27.7026855445078,28.9872207223844,30.6675831103022,29.5534529964618,36.9317658342574,30.2399375946431,41.0380624315201,23.7338797272777,33.256935649988,18.7996703277484,15.1520310531513,18.9318068743663,24.9706962050741,17.0157218105015,20.0643696984442,21.6141246670017,29.1339663972855,22.9319138432892,38.5105913069811
