"","112B","112C","115B","115C","117B","117C","123B","123C","141B","141C","152B","152C","29B","29C","50B","50C","112A","115A","117A","123A","141A","152A","29A","50A","AncB","AncA","AncC"
"YHR083W",4.10611151444823,4.51186951476304,4.61620600710961,4.41212922267904,4.48016668406664,4.85716866161651,5.00590754895828,4.81970391545827,5.0266515804795,5.71934871983572,5.67029136656208,6.23766516240508,5.29204287511034,4.91578923783935,5.34037794566102,5.01871060227031,5.90862558476126,5.43745142888281,5.02840308828724,5.36383568533809,6.20877686877248,5.37186930736368,4.59823824378147,4.96271591976109,5.23789326336515,5.37277344625501,5.70661493878365
"YHR084W",3.74651358865687,2.188283796927,3.52785046712224,2.35426143366862,3.03753421820414,2.8089515319195,3.44497650129922,3.27840990210889,2.91972666033388,3.39070182810725,4.23838124049164,4.53355646185725,3.4834346811954,2.61284639497515,3.63021881488479,2.9550338712501,3.33726222076188,3.56342156485882,3.33320124662733,3.51006625917205,3.61341526679821,4.66382605083083,2.41329502488943,2.98819430470196,3.18970351539897,3.34008212471707,4.28537086169607
"YHR085W",4.15820698424625,3.32148758979693,3.67943021176883,3.6324167992037,3.11439235113172,3.87089696472391,4.26524047332165,4.05060578563845,3.57786810204919,4.48338086561429,5.27191517156848,5.30995806148324,4.13020485583452,4.3751899249366,3.85975715220121,4.07325673960244,4.67446931545996,4.06636644130157,3.95664834541761,4.16639013828612,3.52180950414373,5.6696473360065,2.80501761700503,3.64103551983587,3.73301519606243,4.03941951933733,4.74765535880677
"YHR086W",5.00661281917295,3.9177311973864,5.44227254268566,3.88512363305046,5.40451753024331,4.58231352805539,6.09090159272433,4.82310643950702,4.61211325769835,5.0655698600825,5.57898527663194,6.04597271056616,6.20745107796279,4.34421417329223,6.49782438686646,4.75024060189083,5.45428960733233,6.13548268294821,6.28080487779533,5.99387471297055,6.47158739335514,5.48581494056188,4.57607374776406,5.95138485058312,4.73521983268466,5.22699706608985,5.21223265191154
"YHR086W-A",-1.33759393371394,-2.00427702862238,-1.12097823012466,-4.88506506524608,-3.01509605602573,-1.18671730349795,-1.22704116990644,-1.20443677088267,-1.85283690831894,-0.97414410433959,-1.55203267885203,-1.07418973140099,-0.976135830703683,-1.07504324943847,-2.98065126118223,-1.6447952267604,-3.13560509174435,-2.41167826492679,-4.88506506524608,-3.08335151624566,-1.03171722348271,-1.14633507322374,-1.83634663717886,-1.03528447189021,-1.95805225857496,-0.617571290641952,-0.376352680721537
"YHR087W",7.95830557846634,5.84810800606709,7.01465420595688,5.30616985436322,6.0867421045618,5.35131396534936,5.60442881419099,5.42327336165423,7.73490330700155,6.6399681720955,7.16635526110532,8.08713497997984,6.19971068052488,5.26577229528109,6.22089893628915,6.13264186192553,7.04812798466893,7.22183336395803,6.77258186828337,7.18418217113705,7.38159597992525,7.16553954101389,6.35997315536922,6.59080019264512,7.74968722100059,7.66378689503806,7.17493725560934
"YHR088W",5.5316533652334,4.67282580077223,5.68555220764117,5.3749656645429,5.30309542855428,5.55913316056242,5.69484855500917,5.54777492716242,5.71153988882653,5.23168836504138,6.18559204464418,6.04321825814623,5.76667330691888,6.29135775026959,5.65941720200065,5.70849809008351,5.79273604903693,5.60439809938603,5.16474389482037,5.44688693975806,5.26107651701717,6.87983669504015,4.23781354825901,5.50016569995502,5.26610187062017,5.53964247673452,5.68317129196637
"YHR089C",3.81302034193608,5.5708763995858,4.72476777264923,5.80498668050093,4.17035148100967,5.70979140475079,4.93718276632929,5.49755331604875,6.27257843992481,7.43309860450583,6.91169466326255,8.29244712810246,5.11899423925043,6.46553775464802,4.42501169364609,6.19731703134934,7.4255484888684,4.54239948212163,3.85846659000618,4.86109236749311,5.67957957615573,7.2868861506869,2.86718565635601,4.33592012212793,5.93036316609323,6.06260710905312,7.3893052347005
"YHR090C",6.27045259129986,4.07812639204395,5.4101174649976,4.29933481083527,5.11390637072349,4.6017167931922,5.81059033886523,4.87320418137435,4.81255131702603,4.30064608891922,5.29655580824067,4.93227375858648,5.54023340114714,4.77422807828264,6.41076579708511,4.74640337315817,4.57151743867141,6.20644116754496,6.36962380494873,5.96889742024469,5.74792701377666,6.04193650804023,4.84989440361264,6.35666415865259,4.38007326204741,4.87533710333145,4.63609127535297
"YHR091C",5.6636645480747,4.05025888280344,5.24169004768601,4.02868517928459,4.9806555192029,4.63034099420252,5.5666121341949,4.88952415819714,4.38766287764417,4.81099105880738,5.58052965194953,5.5520104176195,4.95211436811442,4.35046275799359,5.56637219497989,4.73095157526148,4.8685683820196,5.19804641128358,5.59899824878884,5.10633395212391,4.81898146570902,5.6109346153155,3.44991597705777,4.55796713310675,4.39547835862899,4.53001270450058,4.90286345582391
"YHR092C",6.25515659285325,10.4887731617829,6.83927126455023,8.84480687137675,5.86446940198378,9.56790591858939,10.9908110402455,9.79806717710611,11.2208119429253,9.44749268947359,9.56531181009941,9.55889032115836,8.02969631430062,10.1345714530262,8.95775710865333,10.4546438634025,10.3988905467189,11.8013527705711,10.5077854294358,12.0862048438802,8.91991579583809,9.70923529497484,10.7747143429415,10.9507527000044,9.93071426901926,10.2162725122565,8.23193115627593
"YHR093W",1.63666833112488,2.2710978626841,0.705861493554374,1.64417948783395,0.153325784456877,2.16796800122744,2.92337458630848,2.64047036513254,3.15438235349183,0.231828274396489,1.97265103904001,1.27998476559274,2.10578658226384,2.94561316713961,2.00943025660172,2.69325813032417,1.02322357354697,3.76492555301277,2.49876398785969,4.30794289407992,1.37320179940286,3.26100821016102,4.07875997036687,4.49544708760724,2.67068445186421,2.7279312920722,0.780196230585476
"YHR094C",3.04713153906543,5.62067772865319,4.47827509739103,5.76306647470094,2.87032348450005,7.06693810829308,2.99630493106812,7.09733471274042,6.07613161115359,7.02921969851449,8.83079197563933,7.54977492367041,2.80594160152312,5.41035619198463,3.22009314845958,7.07684125927189,8.29487820333675,4.00538101836343,2.92786924088914,3.2794858021417,2.37839736988149,7.68868490061709,0.708467261456032,2.86771719129051,6.25283612439388,4.97318599887743,6.72348907209342
"YHR095W",-1.33759393371394,-2.3554583513404,-2.01851729412205,-1.07237481776496,-4.88506506524608,0.322183178804115,-3.15185317600262,0.0483542688381109,-0.640801731075734,-0.727184142770511,-0.413858906783297,-0.894452032756286,-1.51385833424761,-1.37148299736766,-2.98065126118223,-0.0541225919664492,-0.263114694110225,0.0502762200935845,-0.484324768790751,0.277175967197936,-0.709092873175137,1.27620646830902,-1.83634663717886,0.384337715565562,-0.666730190264082,-0.0071455547423936,-1.51662735458846
"YHR096C",10.3488388013633,4.74703526737048,9.8924117011302,4.21177409912559,9.48963335932193,4.42237579691221,7.10380638694875,4.39041081573582,5.322228431541,4.16963748128005,5.5665703945948,5.44755803063309,8.71167678401024,4.71734403767403,6.71611075174192,5.51908212756659,5.32502878070208,8.10095262705914,7.68255563194104,7.61779634730182,7.65437068521473,6.14290367990194,4.87128843739875,6.55083274063141,5.62963122987427,5.52680879474681,4.63609127535297
"YHR097C",7.92217486998127,5.83046642157357,7.77947421169377,5.37879949682288,7.74800996313157,6.10942554874821,6.69328087327638,6.22339680065587,6.66171881050005,5.72713508004446,6.537714617086,6.81476070500445,6.54948619439022,5.36786591697056,6.63217626828818,6.61324203730077,6.05804916509734,6.94975145100182,6.63848870528024,7.00676743792708,7.33682274925869,6.95187706163413,5.82418771152561,6.50828786952855,6.51740757921757,6.66060485801168,5.54369336192303
"YHR098C",4.38750166910292,4.75281034745153,5.71509742285394,4.7857866020049,5.20809712615353,5.55166986430872,5.5950671691745,5.61015993023919,5.34397068193042,6.32809492218938,6.63009534948019,7.41404300927955,6.08338309257459,4.74606640001192,5.59713656652287,5.71440293087173,7.10033320632795,5.64494873918049,4.92709171656895,5.61977670900726,6.46330821473113,6.60955322381986,4.41891177408951,5.15148373447628,5.95656440218909,6.03568180497434,6.61461910160812
"YHR099W",6.09446558525622,5.76910317998939,6.98099870827736,5.58534916804589,6.78983751691351,6.36071559548219,6.93227458483417,6.28514560900121,6.21946244312636,5.64731318140025,6.59002129188231,6.54760797078813,6.78703689712275,6.44086041064681,8.12431231054776,6.55410574025489,6.4391856048007,6.57736984064189,6.27288577287435,6.48207323675319,7.74806830098625,6.49294112286799,5.04271272782152,6.70068597483811,6.69909014075826,5.99277288968103,5.92221377797116
"YHR100C",5.32254119612841,3.99772691425279,5.37352839004967,3.88512363305046,4.87417503035236,4.66764402323655,5.82066604854231,4.79219091469991,4.45314755278712,4.3685961924449,5.1209017916529,4.96756814457276,5.56695398202626,4.67315899565312,6.1415354006688,4.79921746885365,4.45013596035686,5.66699392006674,5.86860636416917,5.81784198398828,5.29878882867204,5.86111442716593,4.55356341275556,5.77837918307356,4.10194144085809,4.70350953652555,4.23788910199262
"YHR101C",5.87410073096665,3.83847957640474,5.43518864935293,3.77306246600156,5.461527523929,4.61609988335746,5.29898688016527,4.70635634122543,4.43705293113343,3.91170798943203,5.3590787434114,4.85584795612929,5.33789862310518,4.47579418163954,5.51749812285236,4.64699761662609,3.90530011582041,5.37988660537138,5.41263669126256,5.07426499799756,4.8837369065095,5.45865083533559,4.19482323947859,5.35406001793891,4.40565778894562,4.51276017385402,4.10305545095807
"YHR102W",5.58428459704548,4.76142985219496,6.42213829569196,4.88616657439443,5.89310937949152,5.75598500748797,6.04866166043386,5.6924571331078,5.54882178166591,5.61130321603989,6.64567086752462,6.54566303080726,6.62540831749575,5.32408614340208,7.17216873011209,5.86178786204731,5.7590573448939,6.32902888264051,5.58371525346846,6.16096043085856,6.35297378534915,6.76573423149566,5.76500339626078,6.13223789272724,5.76031789408577,6.07735128966099,5.69200736295882
"YHR103W",5.06625749353397,4.65443275911482,5.76114621698812,4.27896392274025,5.38293266493305,5.01745600755275,6.13678696536083,5.23175121018536,5.2035633512356,5.37073162671472,5.95619085360053,6.45531058376712,5.97146686280163,4.54280863793719,6.5743155005039,5.30881093244698,5.85184415831508,6.04410508767278,5.94435067208796,5.76747736850343,6.55025000327298,5.85963180013392,4.8250491783395,5.72488341090616,5.36852975390179,5.28403899032781,5.5469439823749
"YHR104W",8.21174271465785,7.09788626321234,7.7361791353356,6.61603325999397,7.32174789836151,7.2956219476151,8.05067894497349,7.49887162314729,8.06646303821736,7.40505865360194,9.31790204114753,8.26847249489164,7.58591241741185,7.12055077814045,8.2930973274527,7.59922978865792,7.25103935059287,8.57115307324527,8.35312132326196,8.38729492018733,8.1661598752346,8.02295419515927,7.86754871007106,8.25177182834823,8.16366868265713,8.14172870518017,7.48477135435382
